index,prediction,Usage
0,359,Public
1,343,Public
2,365,Public
3,34,Public
4,15,Private
5,84,Public
6,0,Public
7,293,Public
8,0,Public
9,316,Public
10,365,Public
11,204,Private
12,295,Public
13,362,Public
14,77,Public
15,6,Public
16,9,Public
17,179,Public
18,0,Public
19,9,Private
20,1,Private
21,351,Public
22,189,Private
23,300,Public
24,85,Private
25,12,Public
26,51,Public
27,0,Private
28,0,Public
29,99,Public
30,346,Private
31,153,Public
32,365,Public
33,44,Public
34,203,Public
35,0,Private
36,41,Private
37,0,Public
38,146,Public
39,73,Public
40,0,Public
41,0,Private
42,0,Public
43,88,Public
44,0,Private
45,0,Public
46,0,Public
47,37,Public
48,364,Public
49,323,Public
50,239,Public
51,339,Private
52,105,Public
53,144,Public
54,97,Public
55,0,Private
56,0,Private
57,52,Public
58,0,Public
59,0,Public
60,0,Public
61,0,Public
62,5,Public
63,0,Public
64,321,Public
65,251,Private
66,11,Public
67,0,Public
68,8,Public
69,1,Public
70,0,Public
71,188,Public
72,350,Private
73,0,Private
74,225,Public
75,0,Private
76,0,Public
77,0,Public
78,0,Private
79,252,Private
80,169,Public
81,0,Public
82,311,Public
83,246,Public
84,356,Private
85,365,Public
86,244,Private
87,82,Private
88,86,Public
89,0,Public
90,100,Private
91,330,Public
92,47,Public
93,167,Private
94,341,Public
95,360,Public
96,251,Private
97,365,Private
98,346,Public
99,22,Public
100,92,Public
101,13,Public
102,219,Private
103,0,Public
104,310,Public
105,338,Public
106,0,Public
107,0,Public
108,70,Public
109,329,Public
110,0,Private
111,52,Public
112,150,Public
113,82,Public
114,34,Public
115,179,Public
116,153,Private
117,10,Public
118,1,Public
119,92,Public
120,33,Public
121,166,Private
122,308,Public
123,7,Public
124,345,Private
125,133,Private
126,0,Private
127,260,Private
128,0,Public
129,157,Private
130,0,Private
131,365,Public
132,25,Public
133,356,Public
134,0,Private
135,190,Public
136,0,Public
137,358,Public
138,0,Public
139,338,Private
140,363,Public
141,86,Public
142,0,Public
143,0,Public
144,255,Public
145,0,Public
146,272,Public
147,5,Public
148,43,Public
149,237,Public
150,0,Public
151,188,Private
152,0,Private
153,164,Public
154,0,Public
155,0,Public
156,0,Public
157,219,Public
158,0,Private
159,301,Public
160,324,Private
161,0,Public
162,74,Public
163,0,Public
164,1,Public
165,95,Private
166,342,Public
167,0,Public
168,0,Private
169,0,Public
170,363,Private
171,0,Private
172,0,Public
173,21,Public
174,9,Public
175,302,Public
176,0,Private
177,51,Private
178,0,Public
179,40,Public
180,252,Public
181,0,Private
182,0,Public
183,343,Private
184,6,Public
185,0,Private
186,363,Public
187,18,Private
188,324,Public
189,0,Public
190,204,Public
191,36,Public
192,365,Public
193,331,Private
194,259,Public
195,0,Public
196,5,Private
197,250,Private
198,163,Public
199,270,Private
200,355,Public
201,341,Public
202,0,Public
203,0,Public
204,172,Public
205,322,Public
206,235,Public
207,0,Private
208,206,Public
209,0,Public
210,176,Public
211,155,Public
212,0,Private
213,0,Public
214,314,Public
215,79,Public
216,29,Private
217,88,Private
218,7,Private
219,80,Private
220,313,Private
221,0,Public
222,365,Public
223,184,Public
224,316,Public
225,279,Public
226,177,Private
227,0,Public
228,0,Public
229,0,Public
230,333,Public
231,310,Private
232,0,Private
233,268,Public
234,0,Public
235,266,Private
236,5,Public
237,0,Public
238,0,Private
239,270,Public
240,242,Public
241,0,Public
242,0,Public
243,0,Public
244,0,Public
245,12,Private
246,0,Public
247,212,Private
248,0,Private
249,90,Public
250,11,Private
251,0,Public
252,0,Public
253,0,Public
254,358,Private
255,0,Public
256,0,Public
257,83,Public
258,0,Public
259,82,Public
260,365,Public
261,3,Private
262,348,Public
263,188,Public
264,90,Private
265,146,Private
266,362,Public
267,31,Private
268,120,Public
269,180,Public
270,0,Private
271,364,Public
272,179,Public
273,0,Public
274,264,Public
275,0,Public
276,0,Private
277,0,Public
278,365,Public
279,174,Public
280,74,Public
281,34,Public
282,69,Private
283,20,Public
284,180,Public
285,277,Private
286,319,Private
287,4,Private
288,36,Private
289,0,Public
290,0,Public
291,349,Private
292,45,Public
293,12,Public
294,81,Private
295,0,Public
296,0,Private
297,102,Private
298,0,Public
299,295,Public
300,320,Private
301,133,Private
302,0,Public
303,0,Private
304,0,Public
305,0,Public
306,69,Public
307,213,Public
308,0,Public
309,355,Public
310,189,Public
311,365,Private
312,256,Private
313,15,Private
314,21,Public
315,283,Public
316,0,Public
317,0,Public
318,351,Public
319,234,Public
320,97,Private
321,49,Public
322,0,Public
323,0,Public
324,0,Private
325,115,Public
326,343,Public
327,0,Public
328,338,Private
329,285,Public
330,9,Private
331,248,Public
332,242,Public
333,350,Private
334,0,Private
335,0,Public
336,0,Private
337,0,Public
338,0,Public
339,0,Public
340,0,Private
341,69,Public
342,98,Public
343,0,Private
344,81,Private
345,0,Public
346,16,Public
347,253,Public
348,14,Public
349,0,Public
350,0,Private
